r_err	mag	sus	N	T	h	gamma	n	filetered error
158.4608266	0.797572727	0.363877745	100	0.584	0	2.445	100	158.4608266
155.9176434	0.724407273	0.475234103	100	1.064	0	2.265	100	155.9176434
155.7914379	0.547510909	0.700231804	100	2.648	0	2.105	100	155.7914379
154.7604647	0.57554	0.668753708	100	2.552	0	2.115	100	154.7604647
154.2893554	0.3399	0.88446799	100	3.224	0	2.275	100	154.2893554
153.6213511	0.62338	0.611397376	100	1.496	0	2.43	100	153.6213511
153.0041055	0.573616364	0.670964267	100	2.84	0	2.03	100	153.0041055
152.8780953	0.01132	0.999871858	100	2.216	0	2.45	100	152.8780953
152.3521565	0.808445455	0.346415947	100	0.728	0	2.01	100	152.3521565
152.0189488	0.024821818	0.999383877	100	3.608	0	2.07	100	152.0189488
151.4635321	0.551887273	0.695420438	100	1.544	0	2.425	100	151.4635321
151.0977155	0.631314545	0.601441945	100	1.352	0	2.495	100	151.0977155
150.6285783	0.730023636	0.46706549	100	0.824	0	2.285	100	150.6285783
149.0502429	0.757658182	0.42595408	100	1.352	0	2.21	100	149.0502429
148.2194507	0.676996364	0.541675924	100	1.496	0	2.045	100	148.2194507
148.0777785	0.737229091	0.456493268	100	0.584	0	2.375	100	148.0777785
148.0293503	0.734003636	0.461238662	100	0.872	0	2.15	100	148.0293503
147.7574168	0.696536364	0.514837094	100	1.304	0	2.175	100	147.7574168
147.522731	0.750150909	0.437273614	100	0.92	0	2.37	100	147.522731
146.9085908	0.596063636	0.644708141	100	2.744	0	2.02	100	146.9085908
146.6583468	0.667436364	0.5545287	100	1.16	0	2.42	100	146.6583468
145.9305295	0.707187273	0.499886161	100	1.304	0	2.18	100	145.9305295
144.2288611	0.56914	0.67607966	100	1.784	0	2.275	100	144.2288611
143.1041868	0.741570909	0.450072587	100	1.064	0	2.115	100	143.1041868
143.0956114	0.73802	0.45532648	100	0.968	0	2.205	100	143.0956114
141.2790286	0.580030909	0.663564144	100	1.448	0	2.21	100	141.2790286
141.0844292	0.667376364	0.554608789	100	2.12	0	2.12	100	141.0844292
140.8951212	0.000545455	0.999999702	100	4.568	0	2.245	100	140.8951212
139.8715187	0.750805455	0.436291169	100	1.112	0	2.435	100	139.8715187
139.8713331	0.651005455	0.576191898	100	1.112	0	2.345	100	139.8713331
136.1168399	0.678616364	0.539479831	100	1.496	0	2.335	100	136.1168399
135.8896112	0.0646	0.99582684	100	2.216	0	2.225	100	135.8896112
135.2987676	0.740569091	0.451557422	100	1.112	0	2.07	100	135.2987676
134.0546945	0.507401818	0.742543395	100	2.888	0	2.305	100	134.0546945
133.573133	0.848076364	0.280766481	100	0.728	0	2.165	100	133.573133
132.6865658	0.533136364	0.715765618	100	2.168	0	2.01	100	132.6865658
132.3711931	0.709852727	0.496109106	100	0.968	0	2.075	100	132.3711931
132.1997445	0.073721818	0.994565094	100	3.32	0	2.345	100	132.1997445
