r_err,mag,sus,N,T,h,gamma,n,no_h_err,model
0.243978584,0.024717527,0.000110244,2500,3.08,0,4.1,50,0.239007855,SF
2.230319054,0.394974255,0.000266055,2500,1.832,0,2.9,50,2.185783471,SF
0.198664643,0.031481164,0.000219672,2500,2.504,0,3.86,50,0.19460501,SF
2.252159258,0.713644509,9.62E-05,2500,1.64,0,2,50,2.207126466,SF
0.219832026,0.024505818,0.000128107,2500,2.696,0,4.16,50,0.21533988,SF
0.47056158,0.229387127,0.000576648,2500,1.928,0,3.32,50,0.461605719,SF
2.061865049,0.747629455,0.001982493,2500,0.296,0,2.9,50,2.021221645,SF
0.756265521,0.105604436,0.000241839,2500,3.656,0,3.08,50,0.741791234,SF
0.365069956,0.019633164,4.81E-05,2500,4.616,0,4.4,50,0.357751696,SF
0.364096341,0.019517309,4.38E-05,2500,5,0,3.74,50,0.356769785,SF
2.458786197,0.599362691,0.00049644,2500,0.776,0,3.38,50,2.409635953,SF
0.344927455,0.019787345,5.27E-05,2500,4.328,0,4.04,50,0.337995927,SF
2.654832677,0.445138327,0.00015039,2500,2.504,0,2.48,50,2.601795518,SF
